name,location,zx_type,price,url,info
刘婧恒,南京,面对面咨询、视频咨询,600 元/次,http://jiandanxinli.com/experts/135,"  教育经历：,             台湾彰化师范大学辅导与谘商在读博士;,             美国纽约大学（New York University）心理咨询硕士;,             南京师范大学应用心理学学士。,工作经历：,              咨询师 Murry Bergertraum High School,              见习生 美国加州大学伯克莱分校（University of California, Berkeley),              大学讲师,              咨询师,执照：,        美国纽约州学校心理咨询师执照；,        中国心理学会注册心理师。,治疗方向：,              接受中德精神分析培训，心理动力学取向，表达性艺术治疗，梦的工作；,              研究方向为梦的工作，本土心理学，跨文化群体，性少数群体。,        目前从业八年，目前超过1500小时个体咨询，1000小时团体咨询，长期接受督导与个人体验。"
李亚,"武汉、湖北, 中国",面对面咨询、视频咨询,400 元/次,http://jiandanxinli.com/experts/48820,"  国家二级心理咨询师,精神动力取向心理咨询师,儿童游戏治疗师,心理专栏撰稿人,持续接受个人体验及一对一督导，每月一次团体督导,    ,     关于我,     1975年生人，现居湖北武汉，心理动力学取向二级心理咨询师。师从曾奇峰老师、吴和鸣老师、台湾的林玉华老师、王浩威老师、樊雪梅老师以及大洋彼岸的Blackman老师、丽雅·克莱因博士等，并跟随武汉精神卫生中心的李小龙老师学习了三年，接受中英儿童、青少年精神分析取向学院制培训三年。,      我喜欢读书，工作之余的很多时间我都用来阅读，通过各色人等的经历和感悟去体会ta们及作家的内心世界。阅读让我了解到，每一个人的心灵深处，总有不为人知的痛苦和孤独，尤其是有些看似平淡无奇的瞬间，看似平淡无奇的描述，细细揣摩，总能感受到无法言说而又让人锥心蚀骨的孤独和绝望。,    也许是对阅读的兴趣，对理解和感受自己及他人的兴趣，让我走上了心理咨询师的道路，从2011年6月取得二级心理咨询师资格开始，到2017年的11月已经六年有余了，六年来，我服务过社会的私人咨询室、大学的心理咨询室，也在简单心理做过一年的聆听者，目前还是一家心理网站的撰稿人。对我来说，每一个来访者都是一本纷繁复杂、引人入胜的书，静心聆听、细细品味，愿我们能拨开迷雾在心灵的深处相逢。"
樊书慧,北京,视频咨询,300 元/次,http://jiandanxinli.com/experts/369682,"美国国家认证心理咨询师 (NCC),美国弗吉尼亚州注册咨询师(LPC-R),国家认证三级咨询师,国际咨询师荣誉协会会员（CSI),美国心理咨询协会会员（ACA）,美国心理协会会员（APA）,性少数友善咨询师,知名EAP公司签约咨询师，为世界500强企业员工提供心理咨询,接受美国CARCEP心理咨询教育系统认证理事会理事Dr. McAdams教授一周一次个人督导。,实习督导师。目前为美国某大学心理咨询硕士学生提供一周一次督导。,美国雪城大学临床精神健康咨询专业硕士毕业。师从美国北大西洋地区心理咨询教育主席Dr. Seward以及美国人本咨询协会主席Dr. Vereen教授。,2016年上半年作为咨询师工作于美国一家物质成瘾中心，以解决物质成瘾，神经症，婚姻家庭问题为主。,2016年下半年作为学校咨询师工作于美国一家小学，进行危机干预与神经症处理。,2017年上半年作为咨询师供职于美国一家心理咨询中心，进行婚姻家庭咨询以及神经症咨询。,流派技术：认知行为疗法，正念疗法，焦点解决疗法，接纳与承诺疗法，人本主义，辩证行为治疗，存在主义,工作流程与方式,心理咨询是一个长期的改变过程。个体咨询每次50分钟。每位来访者的第1次咨询为初始访谈，双方确立咨询目标与咨询方式。咨询频率一般为每周1-2次，可以根据实际情况进行调整。之后每三个月进行咨询方案更新，总结咨询进展与提出新的方向。短程咨询一般为10-24次，中长程咨询为24-96次，长程咨询为96次以上。,个人倾向短程咨询。"
罗晓禹,"沈阳, 辽宁, 中国",面对面咨询、视频咨询,300 元/次,http://jiandanxinli.com/experts/8858,  在决定如何解决问题之前，我们更需要想清楚的是，我们面临的问题到底是什么，是什么造成了我们当前的困惑和困境。在探索的过程中，我们会找到与自己及他人的和解之道。我愿陪你一起踏上这艰辛但受益终身的探索之旅。
吴园,"南京, 江苏, 中国",面对面咨询、视频咨询,800 元/次,http://jiandanxinli.com/experts/4697,"日本神户大学医学博士（2002年毕业）,中国心理学会注册心理师（X-17-067）,精神分析取向资深治疗师（中德精神分析组）,青少年心理问题资深咨询师（青少年心理问题援助机构）,家庭治疗师（中德家庭治疗组）,很多人都问过我，为什么你取得了医学博士却从事了心理咨询的工作，是啊，答案是什么呢？最大的原因是我对心理咨询非常喜欢，很有热情，即使遇到那么多困难仍然可以不离不弃的喜欢，它像不会熄灭的火焰一样一直引导着我！这些高度浓缩的情感表达翻译过来就是，我对人性，对自己和无数个体内心世界的兴趣是我的火焰，它引导着我把心理咨询作为一辈子的职业，或是帮助别人改善生命的体验，或是扩充自己对生命的理解。我相信，每个人心中都有这样的火焰，这是我们对生命的一种热情，一种生而为人的存在的喜悦。可现实生活中，因为各种因缘际会，父母、家庭、成长环境、所受教育、人际交往等等的糟糕或是不顺利，我们内心的火焰还未曾感受到或是已经熄灭了，这使得个体的存在本身变得悲哀、痛苦，无力。虽然如此，和我们的相遇很有可能点燃或恢复你内心的火焰，或是在安全的情况下体会到生命中的种种，进而恢复活力或是接纳命运的各种展开，总之各种可能性在你决定寻找心理咨询作为助力的方式就开始了！你想不想尝试一下呢？,2006年在南京，这个历史和文化底蕴丰厚的城市开始了我的专职咨询师的工作，这其中除了咨询，我自己也要接受很多的培训、督导、体验，这样才能最大程度保证专业性的延续。作为一个有着十余年精神分析训练和实践的资深咨询师，我和来访者一起经历过程一起成长。今年工作室也重新装修了，雅灰色的沙发，简洁大气，很漂亮呢！我会在这里等待我们的初见！"
李松蔚,北京,面对面咨询,600 元/次,http://jiandanxinli.com/experts/101,  北京大学心理学系临床心理学博士，清华大学心理学系博士后，中国心理学会注册心理师，2009-2012年完成中德高级心理治疗师连续培训项目。从业7年，目前有2000小时个体咨询经验。
杨阳,东莞，广东，中国,面对面咨询、视频咨询,800 元/次,http://jiandanxinli.com/experts/62665,国家二级心理咨询师、北师大应用心理学硕士研究生、注册德国舞动治疗师（BTD）、中德班首届督导组成员。从业8年，接受系统的精神分析、完形治疗、全身聚焦、创伤聚焦、伴侣治疗等系统训练。至今个人体验6年，团体督导4年，一对一督导5年。
孙平,北京,面对面咨询、视频咨询,300 元/次,http://jiandanxinli.com/experts/302003,"国家二级心理咨询师（证书编号：1401000008200347）,中国科学院心理研究所发展与教育专业研究生 在读,个人执业，并在三所高校，北京同志中心兼职,个人累积临床时数已超过1000小时,中美精神分析联盟（The China American Psychoanalytic Alliance，CAPA）初级组在读（第二年）,目前持续接受由阿根廷资深精神分析师Maria Alejandra Rey提供的个人分析（一周三次，已累计120余小节）,已结束心理动力学取向个人体验累计约150小时,已结束人本主义取向个人体验累计约80小时,目前持续接受由美国精神分析师L.ori Bohm 博士提供的的个体督导（每周一次，已累计40余小节）；,已结束心理动力学取向个人督导60小时。,受训背景：,人本主义一年期培训,心理咨询临床与实践研修生两年期培训,性少数群体友善咨询师培训第四期,欧文亚隆团体咨询初中高级培训,CAPA中美精神分析联盟初级组第二年在读,学习过的咨询技术：格式塔（完形），CBT，正念，人本，精神分析,我想对你说的话：当你决定来求助的时候，一定是已经在这场心灵之苦中独自跋涉了很久，谢谢你能够勇敢的做这样一个尝试，让我有机会能够跟你一起去看看那些困扰你的问题，那些纠缠不清的关系，和你内心最压抑也最汹涌的情感和感受。我会用我的专业知识和职业伦理，陪你走这一程，我们会一起探索痛苦的根源，关系的结症，体验生命里的各种悲喜和相遇，帮你更好的了解和理解你的内心世界，也帮你成为那个你一直想成为的，勇敢的，鲜活的，自由的，有力量的，你自己。"
钱仁琳,台北，台湾,视频咨询,500 元/次,http://jiandanxinli.com/experts/130136,"  2008-2011年在澳大利亞悉尼Break Thru People Solutions，Care For Families Program个別家庭每周咨询、精神疾病的心理卫教与咨询、问题解决及因应技巧训练、每两周举行病患与家属的支持团体、病患及家属代言服务、举行社区心理健康相关活动与演讲、以及其他服务的转介。2010年起，做為一位临床催眠治疗师在Enmore Therapy Clinic执业进行催眠治疗，特别专长于忧鬱、创伤、慢性疼痛、睡眠问题、戒烟等项目。从2011年起，也在澳大利亚卧龙岗的Unifam Counselling and Mediation 担任儿童与家族治疗师一职，向儿童及夫妻进行家族治疗、婚姻谘商、儿童游戏治疗、法院规定之离婚前调解谘商、其他服务转介。2013年回到台湾继续在催眠与心理谘询的领域工作，也在台湾推广艾瑞克森式催眠治疗，并担任华人艾瑞克森催眠治疗学会理事（此治疗学会为美国米尔顿艾瑞克森基金会直接授权认证）。,我一直对人的心理、行为及哲学科学有著浓厚兴趣，在台湾的大学与研究所时代修习哲学与心理学时，曾在台大医院的睡眠实验室担任研究助理，每晚看着病患的脑波并分析他们可能有的睡眠障碍，也曾在几家医院的精神科带领病人团体治疗、做个别谘询。在我的眼中，患有精神疾病的人并不可怕，所谓的幻觉、妄想反而是在展现人类大脑的可能性，而精神病患也需要跟一般人一样的同理与照顾。,在相关领域工作一段时间后，感到自身所学以及谈话取向治疗法的不足，开始试图接触不同协助个案的方式。因缘际会下前往澳大利亚，学习临床催眠治疗与家族治疗，扩大了我对人类意识及潜意识的认识，也开启了我在创伤治疗方面不同的视野。开始学催眠，是因为在有名的创伤治疗师Babette Rothschild的工作坊上，听到她提及催眠治疗对于创伤个案的症状像是flashback、恐慌、失眠等的缓解与消除相当快，这个让我印象十分深刻。因为实务工作上碰到的创伤个案很多不继续谈下去，是因为他们谈到重点时，出现的不适症状太严重，影响生活，因此宁愿像以前一样不谈不碰。我想若能处理严重症状，则个案继续进行治疗的意愿会增强，因此开始学习临床催眠。回台湾后也因为对催眠治疗的投入，被华人艾瑞克森催眠学会邀请担任理事一职。,在这要稍微解释一下催眠治疗与舞台催眠是不相同的。一般在电影电视上看到的催眠，为了戏剧效果，都会夸大了催眠师的能力（可以完全操纵人）以及被催眠者的脆弱（被控制只能照做），但实际上催眠的发生并不是催眠师单方面造成的，他需要跟被催眠者建立关係，也需要被催眠者的配合才能成功。舞台上的催眠表演为了娱乐效果，会让上台的被催眠者做出许多搞笑的举动，但临床上的催眠是用来减缓病人身体与心理的病痛不适，因此重视病人本身的感受、在意病人的症状是否因此有所减轻，不会动不动就对病人弹手指喊：睡！我在视频谘询过程中，如果判断觉得催眠有助于来访者的进展，会跟来访者提出这个方式，在来访者了解用意并同意之下，就会进行催眠。,您也许会问：心理谘询/心理治疗要多少次才会有效呢？心理治疗与药物治疗不同，心理治疗很少看一次就有效。一般人求助于心理治疗时，通常是带着许多经年累月所形成的心理问题，因此，要有效改善累积多年的问题，便要花较多的时间接受心理治疗。曾经看过有个计算方式是这样的：困扰已经存在了多少年，就需要多少个月来处理这个问题。以每个礼拜接受一次心理治疗的频率来看，假如您有个症状或心理上的问题（就说是忧鬱好了）已经持续了两年，那麽用上面的公式来看就需要两个月，以一个月四次心理治疗来算，总共需要八次心理治疗。这个计算方式虽然不正规，但可以给您一些心理建设，希望您知道谘询/心理治疗的效果是需要时间的，别太快就感到洩气、觉得没有帮助。,心理治疗中所进行的心理探索需要时间发酵，一週一次的间隔可使您在治疗后有些时间思索消化，也有机会在生活中实践改善的方法，而且容易在疗程中建立一种规律，将治疗视为对您生活具有重要性、必须排出时间来进行的活动。若是延长间隔为两週或更长时间，其重要性被稀释，每次的治疗变成在更新这期间的突发状况，进入正题的时间被压缩减少，这样纵使疗程很长，治疗的效果也不易显现。,我相信每个人都有无限的潜力，也应该创造出自己的存在意义。身为一位心理咨询师及催眠治疗师，我的工作就是协助您找回自己内在丰沛的资源与智慧，达成您想要的目标。无论这目标是很具体的想要减轻身心不适也好、是很广大抽象的追寻生命的意义也好，我都会认真看待、与您一起解决与探讨。如果您评估过后，觉得自己已经准备好要处理面对问题，我很愿意与您踏上这一段疗癒旅程。,我的专业执照如下：,澳大利亚临床催眠治疗师学会会员,国际医学与牙医催眠治疗协会专业会员,华人艾瑞克森催眠治疗学会理事,台湾高考及格谘商心理师,NLP执行师,我的学历如下：,澳大利亚新南威尔斯精神医学机构家族治疗文凭,澳大利亚催眠治疗学院临床催眠治疗文凭,澳大利亚麦觉理大学社会健康研究所文凭,辅仁大学心理学研究所社会文化与谘商组硕士"
张冬晓,"郑州, 河南, 中国",面对面咨询、视频咨询,400 元/次,http://jiandanxinli.com/experts/81244,"国家二级心理咨询师,独立执业，曾于医院精神心理科从事心理咨询工作，一直在一线咨询领域深度挖掘，并撰写相关文章。,中国-挪威国际精神分析师连续培训项目。,中-英客体关系（克莱因）培训；,中国-美国AEDP情感加速心理治疗培训项目；,长期接受精神分析个人体验,长期接受精神分析案例督导,专业方向为焦虑、抑郁等情绪困难，压力失调综合征，神经焦虑症，婚恋、人际关系问题及儿童青少年问题等。"
